minute,calories,distance,floors,heart,steps,sleep_level
0:00:00,0.968900025,0,0,63,0,1
0:01:00,0.968900025,0,0,67,0,1
0:02:00,0.968900025,0,0,69,0,1
0:03:00,0.968900025,0,0,70,0,1
0:04:00,0.968900025,0,0,70,0,1
0:05:00,0.968900025,0,0,71,0,1
0:06:00,0.968900025,0,0,69,0,1
0:07:00,0.968900025,0,0,71,0,1
0:08:00,0.968900025,0,0,68,0,1
0:09:00,0.968900025,0,0,67,0,1
0:10:00,0.968900025,0,0,66,0,1
0:11:00,0.968900025,0,0,65,0,1
0:12:00,0.968900025,0,0,65,0,1
0:13:00,0.968900025,0,0,67,0,1
0:14:00,0.968900025,0,0,65,0,1
0:15:00,0.968900025,0,0,63,0,1
0:16:00,0.968900025,0,0,64,0,1
0:17:00,0.968900025,0,0,63,0,1
0:18:00,0.968900025,0,0,63,0,1
0:19:00,0.968900025,0,0,65,0,1
0:20:00,0.968900025,0,0,64,0,1
0:21:00,0.968900025,0,0,63,0,1
0:22:00,0.968900025,0,0,63,0,1
0:23:00,0.968900025,0,0,62,0,1
0:24:00,0.968900025,0,0,63,0,1
0:25:00,0.968900025,0,0,64,0,1
0:26:00,0.968900025,0,0,62,0,1
0:27:00,0.968900025,0,0,61,0,1
0:28:00,0.968900025,0,0,62,0,1
0:29:00,0.968900025,0,0,62,0,1
0:30:00,0.968900025,0,0,62,0,1
0:31:00,0.968900025,0,0,62,0,1
0:32:00,0.968900025,0,0,62,0,1
0:33:00,0.968900025,0,0,61,0,1
0:34:00,0.968900025,0,0,61,0,1
0:35:00,0.968900025,0,0,62,0,1
0:36:00,0.968900025,0,0,62,0,1
0:37:00,0.968900025,0,0,61,0,1
0:38:00,0.968900025,0,0,61,0,1
0:39:00,0.968900025,0,0,62,0,1
0:40:00,0.968900025,0,0,62,0,1
0:41:00,0.968900025,0,0,62,0,1
0:42:00,0.968900025,0,0,63,0,1
0:43:00,0.968900025,0,0,62,0,1
0:44:00,0.968900025,0,0,62,0,1
0:45:00,0.968900025,0,0,62,0,1
0:46:00,0.968900025,0,0,62,0,1
0:47:00,0.968900025,0,0,63,0,1
0:48:00,0.968900025,0,0,61,0,1
0:49:00,0.968900025,0,0,61,0,1
0:50:00,0.968900025,0,0,62,0,1
0:51:00,0.968900025,0,0,61,0,1
0:52:00,0.968900025,0,0,61,0,1
0:53:00,0.968900025,0,0,60,0,1
0:54:00,0.968900025,0,0,61,0,1
0:55:00,0.968900025,0,0,61,0,1
0:56:00,0.968900025,0,0,61,0,1
0:57:00,0.968900025,0,0,61,0,1
0:58:00,0.968900025,0,0,60,0,1
0:59:00,0.968900025,0,0,61,0,1
1:00:00,0.968900025,0,0,61,0,1
1:01:00,0.968900025,0,0,60,0,1
1:02:00,0.968900025,0,0,60,0,1
1:03:00,0.968900025,0,0,60,0,1
1:04:00,0.968900025,0,0,60,0,1
1:05:00,0.968900025,0,0,60,0,1
1:06:00,0.968900025,0,0,60,0,1
1:07:00,0.968900025,0,0,61,0,1
1:08:00,0.968900025,0,0,61,0,1
1:09:00,1.065790057,0,0,61,0,1
1:10:00,0.968900025,0,0,58,0,1
1:11:00,0.968900025,0,0,58,0,1
1:12:00,0.968900025,0,0,61,0,1
1:13:00,0.968900025,0,0,61,0,1
1:14:00,0.968900025,0,0,65,0,1
1:15:00,0.968900025,0,0,65,0,1
1:16:00,0.968900025,0,0,65,0,1
1:17:00,0.968900025,0,0,69,0,1
1:18:00,0.968900025,0,0,65,0,1
1:19:00,0.968900025,0,0,66,0,1
1:20:00,0.968900025,0,0,65,0,1
1:21:00,0.968900025,0,0,64,0,1
1:22:00,0.968900025,0,0,65,0,1
1:23:00,0.968900025,0,0,65,0,1
1:24:00,0.968900025,0,0,64,0,1
1:25:00,0.968900025,0,0,63,0,1
1:26:00,0.968900025,0,0,64,0,1
1:27:00,0.968900025,0,0,63,0,1
1:28:00,1.065790057,0,0,65,0,1
1:29:00,0.968900025,0,0,60,0,1
1:30:00,0.968900025,0,0,62,0,1
1:31:00,0.968900025,0,0,64,0,1
1:32:00,0.968900025,0,0,64,0,1
1:33:00,0.968900025,0,0,63,0,1
1:34:00,0.968900025,0,0,62,0,1
1:35:00,0.968900025,0,0,63,0,1
1:36:00,0.968900025,0,0,63,0,1
1:37:00,0.968900025,0,0,62,0,1
1:38:00,0.968900025,0,0,64,0,1
1:39:00,0.968900025,0,0,62,0,1
1:40:00,0.968900025,0,0,62,0,1
1:41:00,0.968900025,0,0,62,0,1
1:42:00,0.968900025,0,0,62,0,1
1:43:00,0.968900025,0,0,61,0,1
1:44:00,0.968900025,0,0,62,0,1
1:45:00,0.968900025,0,0,62,0,1
1:46:00,0.968900025,0,0,63,0,1
1:47:00,0.968900025,0,0,63,0,1
1:48:00,0.968900025,0,0,62,0,1
1:49:00,0.968900025,0,0,61,0,1
1:50:00,0.968900025,0,0,62,0,1
1:51:00,0.968900025,0,0,62,0,1
1:52:00,0.968900025,0,0,63,0,1
1:53:00,0.968900025,0,0,62,0,1
1:54:00,0.968900025,0,0,62,0,1
1:55:00,0.968900025,0,0,63,0,1
1:56:00,0.968900025,0,0,62,0,1
1:57:00,0.968900025,0,0,61,0,1
1:58:00,0.968900025,0,0,62,0,1
1:59:00,0.968900025,0,0,61,0,1
2:00:00,0.968900025,0,0,61,0,1
2:01:00,0.968900025,0,0,61,0,1
2:02:00,0.968900025,0,0,61,0,1
2:03:00,0.968900025,0,0,60,0,1
2:04:00,0.968900025,0,0,60,0,1
2:05:00,0.968900025,0,0,60,0,1
2:06:00,0.968900025,0,0,61,0,1
2:07:00,0.968900025,0,0,60,0,1
2:08:00,0.968900025,0,0,60,0,1
2:09:00,0.968900025,0,0,59,0,1
2:10:00,0.968900025,0,0,61,0,1
2:11:00,0.968900025,0,0,61,0,1
2:12:00,0.968900025,0,0,61,0,1
2:13:00,0.968900025,0,0,59,0,1
2:14:00,0.968900025,0,0,59,0,1
2:15:00,0.968900025,0,0,59,0,1
2:16:00,0.968900025,0,0,60,0,1
2:17:00,0.968900025,0,0,65,0,1
2:18:00,1.065790057,0,0,59,0,1
2:19:00,0.968900025,0,0,57,0,1
2:20:00,0.968900025,0,0,58,0,1
2:21:00,0.968900025,0,0,58,0,1
2:22:00,0.968900025,0,0,59,0,2
2:23:00,0.968900025,0,0,59,0,1
2:24:00,0.968900025,0,0,58,0,1
2:25:00,0.968900025,0,0,57,0,1
2:26:00,0.968900025,0,0,58,0,1
2:27:00,0.968900025,0,0,58,0,1
2:28:00,0.968900025,0,0,63,0,1
2:29:00,0.968900025,0,0,58,0,1
2:30:00,0.968900025,0,0,59,0,1
2:31:00,0.968900025,0,0,60,0,1
2:32:00,0.968900025,0,0,62,0,1
2:33:00,0.968900025,0,0,63,0,1
2:34:00,0.968900025,0,0,60,0,1
2:35:00,0.968900025,0,0,61,0,1
2:36:00,0.968900025,0,0,63,0,1
2:37:00,0.968900025,0,0,60,0,1
2:38:00,0.968900025,0,0,63,0,1
2:39:00,0.968900025,0,0,63,0,1
2:40:00,0.968900025,0,0,61,0,1
2:41:00,0.968900025,0,0,62,0,1
2:42:00,0.968900025,0,0,63,0,1
2:43:00,0.968900025,0,0,64,0,1
2:44:00,0.968900025,0,0,67,0,1
2:45:00,0.968900025,0,0,64,0,1
2:46:00,0.968900025,0,0,65,0,1
2:47:00,0.968900025,0,0,63,0,1
2:48:00,0.968900025,0,0,64,0,1
2:49:00,0.968900025,0,0,66,0,1
2:50:00,0.968900025,0,0,63,0,1
2:51:00,0.968900025,0,0,64,0,1
2:52:00,0.968900025,0,0,58,0,1
2:53:00,0.968900025,0,0,60,0,1
2:54:00,0.968900025,0,0,61,0,1
2:55:00,0.968900025,0,0,59,0,1
2:56:00,0.968900025,0,0,60,0,1
2:57:00,0.968900025,0,0,58,0,1
2:58:00,0.968900025,0,0,59,0,1
2:59:00,0.968900025,0,0,61,0,1
3:00:00,0.968900025,0,0,58,0,1
3:01:00,0.968900025,0,0,58,0,1
3:02:00,0.968900025,0,0,57,0,1
3:03:00,0.968900025,0,0,57,0,1
3:04:00,0.968900025,0,0,57,0,1
3:05:00,0.968900025,0,0,56,0,1
